When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation,Category
1/14/2020,Philippines,,,,Philippines,Rappler,"A chain message circulated on Tuesday, Jan. 14, warning people to avoid going to Shangri-La Plaza (a mall in Mandaluyong City) because of a supposed case of Severe Acute Respiratory Syndrome (SARS) reported in one of the mall's medical clinics.",Chain message,https://www.facebook.com/rowena.molina.142/posts/3213368862012870,https://www.rappler.com/newsbreak/fact-check/249371-sars-case-reported-clinic-shangri-la-plaza-mall,English,False ,The Department of Health (DOH) and Healthway Medical both issued advisories denying the claim that was being spread through a chain message.,Spread
1/18/2020,Mexico,,,,Mexico,Animal Político,Stores and supermarkets in Veracruz (Mexico) will close due to the new coronavirus. The local government has asked people to buy supplies.,WhatsApp,,https://www.animalpolitico.com/elsabueso/falso-mensaje-alerta-cierre-comercios-veracruz/,Spanish,False ,"As of Mar. 18, stores had not said they woud close because of the new coronavirus. Authorities asked people not to panic and to avoid big purchases. ",Authorities
1/19/2020,Mexico,,,,Mexico,Animal Político,"The peak of the new coronavirus will happen in two weeks (from Jan 18). During those two weeks, all the infections will occur, then there will be two very calm weeks and another two until it will all go down.",WhatsApp,,https://www.animalpolitico.com/elsabueso/cadena-de-whatsapp-cuidados-covid-19/,Spanish,Partly false,Authorities say that what lasts two weeks or less is the incubation period.,Spread
1/21/2020,France,United States,,,"France, United States",AFP,The coronavirus was created in a lab and patented.,"Facebook, Website",https://perma.cc/79T7-RFKC,http://u.afp.com/349g,English,False ,The patents circulating are linked to other coronaviruses and a patent for a virus does not mean it's man made.,Conspiracy theory
1/21/2020,Middle East,North Africa,,,"Middle East, North Africa",Misbar,A Chinese market caused the new coronavirus (video).,"Facebook, Twitter",,https://misbar.com/factcheck/5e33c9c8d4a22959e64273f3,Arabic,Misleading,The video is misleading.,Causes
1/22/2020,China,,,,China,AFP,Saline solutions can kill the new coronavirus.,Many social media platforms,https://perma.cc/M893-58WA,http://u.afp.com/349U,English,False ,The WHO and many doctors deny this claim.,Cures 
1/22/2020,Sri Lanka,,,,Sri Lanka,AFP,You have to wear a disposable mask with the blue side out if you are sick and the white side out if you are not.,Facebook,https://perma.cc/KJ9V-3DDL,http://u.afp.com/3okn,English,False ,"The only way to wear a mask is with the blue face out, experts told AFP.",Other
1/22/2020,United Kingdom,,,,United Kingdom,Science Feedback,The new coronavirus outbreak is linked to eating bats.,"Emma Parker, writer at the Daily Star (and many others)",http://archive.md/Q4cjr,https://healthfeedback.org/claimreview/no-conclusive-evidence-to-link-consumption-of-bats-with-the-wuhan-coronavirus-outbreak/,English,No evidence,"Bats are known natural reservoirs for coronaviruses. However, many other animals, such as civet cats and snakes, can also carry these viruses. There is currently not enough evidence to conclude that the 2019 coronavirus outbreak resulted from people eating bats in Wuhan, China.",Causes
1/22/2020,United States,,,,United States,LeadStories,"""A patent on this 'new' coronavirus expired on the 22nd (of January), today"".",Instagram,https://archive.fo/wip/cYuzv,https://hoax-alert.leadstories.com/3471529-fake-news-patent-for-coronavirus-that-expired-is-not-for-new-strain-killing-people-in-china.html?check=1,English,False ,"A patent for the vaccine for the new coronavirus did not expire on January 22, 2020. The patent that can be seen in this Instagram post is related to the SARS epidemic, which killed more than 800 people after it broke out in China in 2002.",Conspiracy theory
1/22/2020,United States,,,,United States,LeadStories,"""There's magically already a vaccine available.""",Instagram,https://archive.fo/wip/cYuzv,https://hoax-alert.leadstories.com/3471529-fake-news-patent-for-coronavirus-that-expired-is-not-for-new-strain-killing-people-in-china.html?check=2,English,False ,"Anthony S. Fauci, a top official at the National Institutes of Health (NIH), told Bloomberg Law that a potential vaccine ""could move into early-stage human testing in the next three months.""",Cures 
1/22/2020,Canada,,,,Canada,Décrypteurs - Radio-Canada,Chinese influencer caused the new coronavirus outbreak after eating bat soup.,Twitter,https://twitter.com/Byron_Wan/status/1220167116734681088,https://ici.radio-canada.ca/nouvelle/1499031/femme-soupe-chauve-souris-coronavirus-chine-faux,French,False ,"The footage was filmed in 2016 in Micronesia, and not in China.",Causes
1/22/2020,Italy,,,,Italy,Pagella Politica,Warning: the virus is spreading in Italy (January 22).,retenews24.it,http://archive.is/9lawZ,https://pagellapolitica.it/bufale/show/902/notizia-falsa-allarme-virus-si-sta-diffondendo-anche-in-italia,Italian,False ,"Until Jan. 22, this information hadn't been confirmed by any national or local newspaper nor by any member of the Italian government.",Spread
1/22/2020,Bosnia and Herzegovina,Serbia,,,"Bosnia and Herzegovina, Serbia",Raskrinkavanje,Russian scientists have found a cure for the new Chinese virus.,"Sputnik, and then other media outlets in the Balkan region",https://rs-lat.sputniknews.com/rusija/202001221121581403-ruski-naucnici-imaju-spreman-lek-za-borbu-protiv-novog-kineskog-virusa/,https://raskrinkavanje.ba/analiza/ruski-lijek-za-gripu-i-lijek-za-korona-virus,Bosnian,Misleading,"As of Jan. 22, there has been no new information on Trizivir drug testing or its results. Triazavirin had not been confirmed as a cure for the new coronavirus. Even though the headline used on Sputnik's article claims that the Russian drug Triazavirin is ""ready"" to be used against COVID-19, the article does not contain this information.",Cures 
1/23/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,The first case of new coronavirus in Venezuela has been registered. It comes from the Bolivar state.,"Americo De Grazia, AlbertoNews (TW) + WhatsApp chain",https://twitter.com/AmericoDeGrazia/status/1220354010600869888?s=20,https://efectococuyo.com/cocuyo-chequea/coronavirus-no-llegado-venezuela/,Spanish,False ,"As Jan. 23, The Association of Doctors in the State of Bolivar had publicly denied this information.",Spread
1/23/2020,United States,,,,United States,Science Feedback,"""[The coronavirus is] 'new' yet it was lab-created and patented in 2015"".",Chris Kirckof and Jordan Sather on Facebook and Twitter,https://archive.fo/mPO2k,https://healthfeedback.org/claimreview/contrary-to-claims-in-viral-social-media-posts-wuhan-coronavirus-was-not-lab-created-nor-was-it-patented-years-before-outbreak/,English,Misleading,"The post references the Wuhan coronavirus, but the patent filed is clearly stated to be for the SARS coronavirus, which caused the 2003 outbreak. Neither the SARS nor Wuhan coronavirus is lab-created; evidence points to an animal reservoir as the source of infection.",Conspiracy theory
1/23/2020,Denmark,,,,Denmark,TjekDet.dk,The novel coronavirus was made in a lab and is now spread as a way to force vaccinate people.,Facebook user and facebook site,https://www.facebook.com/groups/udensponsor/permalink/2824601250916612/ https://www.facebook.com/permalink.php?story_fbid=1438247773015382&id=358930937613743&__tn__=-R,https://www.mm.dk/tjekdet/artikel/er-coronavirussen-opfundet-af-medicinalindustrien-corona-vaas-trives-paa-sociale-medier,Danish,False ,"There is still no vaccine for the new coronavirus, according to the National Board of Health. The claims most often refer to a ""patent"" related to the coronavirus. The patent is supposed to prove that a vaccine already exists and that the pharmaceutical industry is behind the outbreak of coronavirus. But the patent is instead about the SARS virus that killed hundreds of people in the outbreak of 2002, or the species of the coronavirus that hit birds.",Conspiracy theory
1/24/2020,Sri Lanka,,,,Sri Lanka,AFP,Doctors said the entire Wuhan population will die of the novel coronavirus.,Our Economics Fb page,https://perma.cc/88K6-NFY8,http://u.afp.com/34jV,English,False ,Authorities never said that and U.S CDC said most people will recover on their own.,Spread
1/24/2020,Brazil,,,,Brazil,Aos Fatos,"Coronavirus may have spread due to the consumption of bat soup, according to scientists.",Media,https://perma.cc/44LX-SXLF,https://aosfatos.org/noticias/o-que-se-sabe-sobre-epidemia-do-novo-coronavirus/,Portuguese,False ,"There is no evidence to support the claim that the consumption of bat soup is connected to the transmission of the 2019-nCoV. One recent study indicates that the new virus does share genetic information with other kinds of coronaviruses that infect bats, but it is still unclear which animals may have transmitted the virus to humans. Analyzing a genetic database, researchers concluded that Chinese snakes are the most likely reservoir for the new pathogen, but the hypothesis has yet to be tested experimentally.",Causes
1/24/2020,United States,,,,United States,LeadStories,"That the China-centered coronavirus had infected 2.8 million people and killed 112,000.",Hal Turner Radio Show,https://halturnerradioshow.com/index.php/en/news-page/news-nation/coronavirus-in-china-20-million-quarantined-2-8-million-infected-112-000-dead#comment,https://hoax-alert.leadstories.com/3471535-fake-news-coronavirus-in-china-millions-quarantined-28-million-not-infected-112000-not-dead.html,English,False ,"This was a wild exaggeration of the facts. As of Jan. 24, some 900 people had been infected and 26 had died.",Spread
1/24/2020,United States,,,,United States,LeadStories,A 2015 research article about a lab-made coronavirus referred to the current outbreak.,The Scientist,https://www.the-scientist.com/news-opinion/lab-made-coronavirus-triggers-debate-34502,https://hoax-alert.leadstories.com/3471537-fact-check-2015-article-about-lab-made-coronavirus-triggers-debate.html,English,Misleading,"It was an opinion piece, and while facts used in the article appear accurate, it did not refer to the current coronavirus outbreak.",Conspiracy theory
1/24/2020,Brazil,,,,Brazil,Agência Lupa,"""They create diseases to offer vaccines. There is already a patent for an attenuated coronavirus.""",Facebook,https://www.facebook.com/propagadordareal/photos/a.365565870625018/818478765333724/?type=3&theater,https://piaui.folha.uol.com.br/lupa/2020/01/24/verificamos-patente-farmaceuticas-coronavirus-vacinas/,Portuguese,False ,"The Pirbright Institute has a patent for an attenuated form of a different strain of coronavirus, the infectious bronchitis virus (IBV). It only affects poultry.",Conspiracy theory
1/24/2020,Japan,,,,Japan,BuzzFeed Japan,"A Chinese person, who was taken from Kansai airport (in Osaka, Japan) to a hospital, has run away before they could be tested.",Share News Japan,https://snjpn.net/archives/177104,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china,Japanese,False ,"According to the Kansai Airport Quarantine Station, this information is absolutely false.",Other
1/24/2020,Greece,,,,Greece,Ellinika Hoaxes,A new case of novel coronavirus was registered in Saudi Arabia. A nurse from India was diagnosed with the specific strain of the virus.,Media,http://archive.is/QL8GH,https://www.ellinikahoaxes.gr/2020/01/24/corona-virus-saudi-arabia/,Greek,False ,"According to Dr. Tarik Al Azraqi, head of the committee for infectious diseases in Saudi Arabia, the nurse was diagnosed and received treatment for MERS not 2019-nCoV.",Spread
1/24/2020,United States,,,,United States,FactCheck.org,"""The new fad disease called the 'coronavirus' is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.""",Jordan Sather (TW),https://twitter.com/Jordan_Sather_/status/1219795721286586368?s=20,https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory?check=1,English,(Org. doesn't apply rating),All of the posts link to patents that are related to two different viruses in the coronavirus family. There is no patent related to the new virus,Conspiracy theory
1/24/2020,United States,,,,United States,FactCheck.org,"""So let me get this straight about this virus. It’s 'new' yet it was lab created and patented in 2015 (in development since 03’).""",Chris Kirckof (FB),https://www.facebook.com/ChrisKirckof/posts/10115091907124080,https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory?check=2,English,(Org. doesn't apply rating),All of the posts link to patents that are related to two different viruses in the coronavirus family. There is no patent related to the new virus,Conspiracy theory
1/24/2020,France,,,,France,franceinfo,A Chinese woman from Wuhan arrived in France with suspected symptoms of coronavirus.,Twitter,https://twitter.com/Conflits_FR/status/1220033933838032896?s=20,https://www.francetvinfo.fr/sante/maladie/coronavirus/une-chinoise-venue-de-wuhan-est-elle-arrivee-en-france-avec-des-symptomes-suspects-du-coronavirus_3798295.html,French,Misleading,"The Chinese embassy in France confirmed the presence of this Chinese woman in France and said that she gave reassuring news. According to French authorities, investigations are underway, but this suspicious case has never been officially reported.",Spread
1/24/2020,Philippines,,,,Philippines,Rappler,"“Confirmed cases” of the novel coronavirus or 2019 nCoV were recorded at the Philippine Bank of Communications (PBCom) Tower in Makati City, according to a message that circulated Friday, Jan. 24.",Chain message,not available,https://www.rappler.com/newsbreak/fact-check/250112-confirmed-cases-coronavirus-pbcom-tower-makati,English,False ,"Speaking to reporters on January 24, Health Undersecretary Eric Domingo maintained that there is still no confirmed case of the 2019 nCov in the Philippines. The management of PBCom Tower also said there is “no truth” to the information.",Spread
1/25/2020,Colombia,,,,Colombia,Colombiacheck,A salesman in Medellín's El Hueco market was sent to a hospital with coronavirus symptoms.,Facebook,https://www.facebook.com/108972513978865/photos/a.110766153799501/115191306690319/?type=3&theater,https://colombiacheck.com/chequeos/no-comerciante-de-el-hueco-no-esta-internado-en-hospital-de-medellin-con-sintomas-del,Spanish,False ,Colombia's Ministry of Health reports no confirmed cases of coronavirus infections in Colombia. Medellín's Secretary of Health also reports no cases in their city.,Spread
1/25/2020,United States,,,,United States,LeadStories,A spray could protect against the coronavirus outbreak.,@chiefpolice,https://twitter.com/chiefpolice2/status/1220930150205812742?s=19,https://hoax-alert.leadstories.com/3471539-fake-news-no-proof-that-spray-can-protect-against-coronavirus.html,English,No evidence,The product being hawked by the Genesis Church 2 is essentially bleach.,Cures 